Country,M_Cm
Timor-Leste,160.13
Laos,162.78
Solomon Islands,163.07
Papua New Guinea,163.1
Mozambique,164.3
Nepal,164.36
Yemen,164.42
Bangladesh,165.08
Madagascar,165.16
Philippines,165.23
Marshall Islands,165.26
Cambodia,165.35
Liberia,165.48
Mauritania,165.54
Malawi,165.68
Rwanda,166.02
Indonesia,166.26
Brunei,166.31
Sierra Leone,166.43
India,166.5
Myanmar,166.7
Peru,166.75
Tanzania,166.98
Bhutan,167.05
Ecuador,167.32
Pakistan,167.33
Burundi,167.34
Zambia,167.62
Comoros,167.72
Maldives,167.87
Lesotho,167.92
Sri Lanka,168.07
Bolivia,168.1
Guinea-Bissau,168.17
Equatorial Guinea,168.18
Ivory Coast,168.23
Vanuatu,168.29
Gambia,168.36
Tajikistan,168.43
Benin,168.44
Angola,168.46
Afghanistan,168.5
DR Congo,168.6
Uganda,168.74
Ethiopia,168.84
Vietnam,168.89
Central African Republic,169.01
Malaysia,169.2
Eswatini,169.41
Micronesia,169.57
Honduras,169.59
South Africa,169.63
Namibia,169.75
Nicaragua,169.91
Kiribati,170.09
Togo,170.14
Panama,170.19
Niger,170.26
Mexico,170.29
Ghana,170.3
Sao Tome and Principe,170.37
Kenya,170.46
Gabon,170.48
Belize,170.52
Eritrea,170.6
Palau,170.62
Mongolia,170.67
Zimbabwe,170.69
Guinea,170.7
Djibouti,170.77
Uzbekistan,170.94
Somalia,171.22
Republic of the Congo,171.23
Tuvalu,171.3
Nigeria,171.55
Thailand,171.61
Syria,171.64
Kyrgyzstan,171.66
Oman,171.7
Chad,171.84
Colombia,171.85
Burkina Faso,171.89
Japan,172.06
Sudan,172.07
Cameroon,172.13
Guyana,172.15
Haiti,172.23
Cyprus,172.75
Bahrain,172.76
Chile,172.88
Mauritius,173.01
Botswana,173.16
Qatar,173.27
Singapore,173.5
Venezuela,173.53
Cuba,173.56
Armenia,173.67
Saint Kitts and Nevis,173.71
Iraq,173.79
Paraguay,173.81
Greenland,173.84
Fiji,173.98
Azerbaijan,174.0
Costa Rica,174.04
Albania,174.07
United Arab Emirates,174.08
Bulgaria,174.17
Uruguay,174.32
Turkmenistan,174.37
Malta,174.38
Bahamas,174.4
Italy,174.42
Suriname,174.51
Egypt,174.57
Dominican Republic,174.65
North Korea,174.69
Argentina,174.76
Hong Kong,174.83
Jordan,174.84
Kuwait,174.96
Mali,175.02
Algeria,175.04
Palestine,175.05
Tonga,175.11
Kazakhstan,175.5
South Korea,175.52
Moldova,175.59
Iran,175.62
China,175.66
Brazil,175.73
Seychelles,175.9
Israel,175.98
Trinidad and Tobago,176.03
Tokelau,176.06
Spain,176.11
Senegal,176.18
Morocco,176.35
Turkey,176.36
Libya,176.39
Saint Lucia,176.43
Hungary,176.59
Russia,176.65
Tunisia,176.85
United States,176.94
Jamaica,176.97
Barbados,177.03
American Samoa,177.09
Niue,177.19
Saint Vincent and the Grenadines,177.49
New Zealand,177.72
Romania,177.82
United Kingdom,178.21
Cook Islands,178.32
Luxembourg,178.46
Austria,178.52
France,178.6
Belarus,178.69
Grenada,178.7
Switzerland,178.73
Canada,178.75
Australia,178.77
Andorra,178.84
Lebanon,178.96
Ireland,179.04
Belgium,179.09
Greece,179.26
Puerto Rico,179.48
Bermuda,179.72
Dominica,180.15
Germany,180.28
Sweden,180.46
Norway,180.48
Finland,180.57
Poland,180.69
Lithuania,180.72
Serbia,180.74
Croatia,180.76
Slovenia,180.98
Slovakia,181.02
Latvia,181.17
Czech Republic,181.19
Denmark,181.89
Iceland,182.1
Bosnia and Herzegovina,182.47
Estonia,182.79
Montenegro,183.3
Netherlands,183.78
